BioImpReal,BioImpImaginary,PacketCounter,TimeStamp
244.8167266845703,-21.160629272460938,27,1690500721.2971234
249.6157989501953,-22.4505615234375,28,1690500721.8963742
258.1194763183594,-22.586801528930664,29,1690500722.496384
215.5963592529297,-18.264957427978516,30,1690500723.0964484
218.10560607910156,-17.932817459106445,31,1690500723.6971817
220.396484375,-17.635963439941406,32,1690500724.2966
225.4030303955078,-17.434165954589844,33,1690500724.8965132
227.74644470214844,-17.094661712646484,34,1690500725.4972994
232.81785583496094,-16.8404483795166,35,1690500726.096622
237.93101501464844,-16.684471130371094,36,1690500726.6971323
240.44081115722656,-16.30659294128418,37,1690500727.2968483
245.5601806640625,-16.016183853149414,38,1690500727.8963177
250.8523406982422,-15.893654823303223,39,1690500728.4964693
252.90872192382812,-14.060047149658203,40,1690500729.0961854
258.67486572265625,-15.03921127319336,41,1690500729.697022
258.15081787109375,-14.207805633544922,42,1690500730.2965453
264.2261962890625,-15.135661125183105,43,1690500730.8973014
272.16650390625,-13.412296295166016,44,1690500731.4965298
277.5794677734375,-12.874129295349121,45,1690500732.096756
283.16571044921875,-12.12974739074707,46,1690500732.6965787
212.8307647705078,-8.106849670410156,47,1690500733.2961564
211.84597778320312,-7.114289283752441,48,1690500733.8969605
210.85166931152344,-6.047018527984619,49,1690500734.4966893
210.90402221679688,-6.215145111083984,50,1690500735.0969105
211.30422973632812,-3.680361032485962,51,1690500735.6671424
212.7412872314453,-2.14650821685791,52,1690500736.2673523
214.10946655273438,-0.5274105668067932,53,1690500736.8672209
215.24301147460938,1.6354894638061523,54,1690500737.466538
217.2415771484375,2.2966458797454834,55,1690500738.0670397
218.32073974609375,5.612926483154297,56,1690500738.6670902
220.00482177734375,9.49447250366211,57,1690500739.267099
229.31301879882812,10.049836158752441,58,1690500739.8671777
240.55886840820312,12.740813255310059,59,1690500740.466109
253.4239044189453,19.42290496826172,60,1690500741.0668404
266.7803649902344,31.413602828979492,61,1690500741.6668816
278.8130187988281,51.67951202392578,62,1690500742.2668242
286.17437744140625,79.28767395019531,63,1690500742.866657
-285.12664794921875,-109.12095642089844,64,1690500743.466833
-272.4299011230469,-142.69882202148438,65,1690500744.0672019
-254.40838623046875,-170.5000457763672,66,1690500744.6663673
-230.17730712890625,-182.69349670410156,67,1690500745.266978
-212.51031494140625,-191.4164581298828,68,1690500745.8665566
-201.6166534423828,-191.83895874023438,69,1690500746.4962897
-195.76052856445312,-188.65708923339844,70,1690500747.0668137
-198.3147735595703,-201.76904296875,71,1690500747.666597
-206.21031188964844,-219.96507263183594,72,1690500748.2667243
-218.84744262695312,-239.18215942382812,73,1690500748.8660069
-234.98399353027344,-257.4255676269531,74,1690500749.4665897
-256.6784362792969,-280.48272705078125,75,1690500750.0661993
-286.8690185546875,-306.6956481933594,76,1690500750.6668813
-317.77166748046875,-329.0667724609375,77,1690500751.2660127
-352.9593200683594,-351.189697265625,78,1690500751.8661647
-390.0503234863281,-372.3814392089844,79,1690500752.4664946
-425.7755126953125,-388.5416564941406,80,1690500753.0665836
-457.3064270019531,-392.34210205078125,81,1690500753.6668928
-498.0580749511719,-405.79217529296875,82,1690500754.266807
