ENMO,PacketCounter,TimeStamp
0.0,213,11:28:19.902034
0.0,463,11:28:20.902183
0.0,713,11:28:21.902193
0.0,963,11:28:22.901944
0.0,1213,11:28:23.902031
0.0,1463,11:28:24.901621
0.0,1713,11:28:25.901717
0.0,1963,11:28:26.901545
0.0,2213,11:28:27.902033
0.0,2463,11:28:28.901887
0.0,2713,11:28:29.900947
0.0,2963,11:28:30.902035
0.0,3213,11:28:31.901112
0.0,3463,11:28:32.900955
0.0,3713,11:28:33.901286
0.0,3963,11:28:34.901175
0.0,4213,11:28:35.901387
0.0,4463,11:28:36.892150
0.0,4713,11:28:37.892603
0.0,4963,11:28:38.892426
0.0,5213,11:28:39.892429
0.0,5463,11:28:40.891816
0.0,5713,11:28:41.891199
0.0,5963,11:28:42.892345
0.0,6213,11:28:43.891210
0.0,6463,11:28:44.891464
0.0,6713,11:28:45.891159
0.0,6963,11:28:46.891318
0.0,7213,11:28:47.891005
0.0,7463,11:28:48.891328
0.0,7713,11:28:49.890866
0.0,7963,11:28:50.891597
0.0,8213,11:28:51.890907
0.0,8463,11:28:52.891427
0.0,8713,11:28:53.883341
0.0,8963,11:28:54.882203
0.0,9213,11:28:55.881586
0.0,9463,11:28:56.882814
0.0,9713,11:28:57.882386
0.0,9963,11:28:58.881473
0.0,10213,11:28:59.882036
0.0,10463,11:29:00.881776
0.0,10713,11:29:01.881782
0.0,10963,11:29:02.881772
0.0,11213,11:29:03.881763
0.0,11463,11:29:04.881759
0.0,11713,11:29:05.881526
0.0,11963,11:29:06.881204
0.0,12213,11:29:07.881270
0.0,12463,11:29:08.881424
0.0,12713,11:29:09.881618
0.0,12963,11:29:10.881609
0.0,13213,11:29:11.872205
0.0,13463,11:29:12.872076
0.0,13713,11:29:13.872423
0.0,13963,11:29:14.872426
0.0,14213,11:29:15.871819
0.0,14463,11:29:16.872102
0.0,14713,11:29:17.872038
0.04784567654132843,14963,11:29:18.872136
1.3994020223617554,15213,11:29:19.871577
2.0717203617095947,15463,11:29:20.871947
2.5751519203186035,15713,11:29:21.871232
1.8682639598846436,15963,11:29:22.871764
2.0626091957092285,16213,11:29:23.872135
1.7743357419967651,16463,11:29:24.872349
2.235144853591919,16713,11:29:25.871030
2.6466317176818848,16963,11:29:26.882169
2.6586742401123047,17213,11:29:27.872007
1.8211417198181152,17463,11:29:28.862225
1.6474076509475708,17713,11:29:29.863199
2.090348243713379,17963,11:29:30.862170
1.5621631145477295,18213,11:29:31.862979
1.8689264059066772,18463,11:29:32.862122
2.0897417068481445,18713,11:29:33.862170
1.8531320095062256,18963,11:29:34.862171
1.7611088752746582,19213,11:29:35.861797
2.141944169998169,19463,11:29:36.862278
1.7250293493270874,19713,11:29:37.863383
1.5241446495056152,19963,11:29:38.871414
1.5487016439437866,20213,11:29:39.861979
1.9853793382644653,20463,11:29:40.861725
2.519221067428589,20713,11:29:41.862100
2.118656873703003,20963,11:29:42.861330
1.7997627258300781,21213,11:29:43.862183
1.9828596115112305,21463,11:29:44.861989
2.266724109649658,21713,11:29:45.852832
2.388956308364868,21963,11:29:46.852167
2.2604072093963623,22213,11:29:47.852562
2.245198965072632,22463,11:29:48.852218
2.1221237182617188,22713,11:29:49.852320
1.7622992992401123,22963,11:29:50.852320
1.5764319896697998,23213,11:29:51.852186
1.8127473592758179,23463,11:29:52.852061
1.5313113927841187,23713,11:29:53.852444
1.566871166229248,23963,11:29:54.851870
1.2634557485580444,24213,11:29:55.851865
2.3785295486450195,24463,11:29:56.851074
2.4882352352142334,24713,11:29:57.851947
2.766770601272583,24963,11:29:58.861205
2.840071201324463,25213,11:29:59.851479
3.557192802429199,25463,11:30:00.861980
3.548562526702881,25713,11:30:01.851874
3.704921245574951,25963,11:30:02.852033
4.293630123138428,26213,11:30:03.842388
3.8905858993530273,26463,11:30:04.843354
3.3565566539764404,26713,11:30:05.842456
3.7444546222686768,26963,11:30:06.842130
3.3669018745422363,27213,11:30:07.851523
3.6803171634674072,27463,11:30:08.842142
3.838562250137329,27713,11:30:09.862899
4.000129222869873,27963,11:30:10.843155
4.117511749267578,28213,11:30:11.842091
4.138622283935547,28463,11:30:12.841842
4.211732387542725,28713,11:30:13.842209
4.324289321899414,28963,11:30:14.841546
4.121832847595215,29213,11:30:15.842044
2.0375030040740967,29463,11:30:16.842308
0.7066996693611145,29713,11:30:17.841651
0.024172000586986542,29963,11:30:18.841890
0.0,30213,11:30:19.842012
0.0,30463,11:30:20.832857
0.0,30713,11:30:21.832172
0.0,30963,11:30:22.833192
0.0,31213,11:30:23.832226
0.0,31463,11:30:24.832321
0.0,31713,11:30:25.831981
0.0,31963,11:30:26.832075
0.0,32213,11:30:27.831953
0.0,32463,11:30:28.831581
0.0,32713,11:30:29.832125
0.0,-32573,11:30:30.832043
0.0,-32323,11:30:31.831415
0.0,-32073,11:30:32.831304
0.0,-31823,11:30:33.831936
0.0,-31573,11:30:34.832033
0.0,-31323,11:30:35.831097
0.0,-31073,11:30:36.831645
0.0,-30823,11:30:37.831277
0.0,-30573,11:30:38.823197
0.0,-30323,11:30:39.822079
0.0,-30073,11:30:40.822959
0.0,-29823,11:30:41.822300
0.0,-29573,11:30:42.822313
0.0,-29323,11:30:43.822092
0.0,-29073,11:30:44.821973
0.0,-28823,11:30:45.821970
0.0,-28573,11:30:46.821621
0.0,-28323,11:30:47.821960
0.0,-28073,11:30:48.821747
0.0,-27823,11:30:49.821784
0.0,-27573,11:30:50.821283
0.0,-27323,11:30:51.821934
0.0,-27073,11:30:52.821282
0.0,-26823,11:30:53.822016
0.0,-26573,11:30:54.821918
0.0,-26323,11:30:55.812872
0.0,-26073,11:30:56.813208
0.0,-25823,11:30:57.812284
0.0,-25573,11:30:58.812327
0.0,-25323,11:30:59.811993
0.0,-25073,11:31:00.812588
0.0,-24823,11:31:01.812938
0.0,-24573,11:31:02.812262
0.0,-24323,11:31:03.813001
0.0,-24073,11:31:04.811953
0.0,-23823,11:31:05.811866
0.0,-23573,11:31:06.836922
0.0,-23323,11:31:07.811828
0.0,-23073,11:31:08.812114
0.0,-22823,11:31:09.811708
0.0,-22573,11:31:10.811953
0.0,-22323,11:31:11.811751
0.0,-22073,11:31:12.811922
0.0,-21823,11:31:13.803137
0.0,-21573,11:31:14.802986
0.0,-21323,11:31:15.802349
0.0,-21073,11:31:16.802913
0.0,-20823,11:31:17.801929
0.0,-20573,11:31:18.802288
