PPG_IR1,PPG_IR2,PPG_G1,PPG_G2,PacketCounter,PacketLoss,Timestamp
13751,12884,251745,242882,1390,0,11:28:24.611460
13751,12883,251745,242878,1400,0,11:28:24.651996
13750,12875,251747,242882,1410,0,11:28:24.691686
13770,12882,251748,242880,1420,0,11:28:24.732294
13692,12875,251745,242890,1430,0,11:28:24.771808
13737,12880,251745,242879,1440,0,11:28:24.811685
13788,12881,251753,242879,1450,0,11:28:24.851954
13747,12882,251719,242888,1460,0,11:28:24.891684
13753,12885,251729,242888,1470,0,11:28:24.932352
13753,12885,251751,242886,1480,0,11:28:24.972284
13751,12882,251735,242881,1490,0,11:28:25.011635
13750,12881,251739,242880,1500,0,11:28:25.052017
13748,12877,251734,242872,1510,0,11:28:25.091636
13753,12885,251742,242884,1520,0,11:28:25.132555
14588,13667,251739,242884,1530,0,11:28:25.172059
15662,14673,251739,242876,1540,0,11:28:25.211641
15660,14668,251741,242882,1550,0,11:28:25.252078
15704,14674,251735,242873,1560,0,11:28:25.291683
15657,14670,251730,242866,1570,0,11:28:25.332340
15616,14673,251734,242878,1580,0,11:28:25.372294
15623,14668,251761,242877,1590,0,11:28:25.411656
15661,14668,251720,242879,1600,0,11:28:25.452061
15657,14668,251743,242885,1610,0,11:28:25.491519
15659,14667,251741,242880,1620,0,11:28:25.532251
15659,14667,251734,242861,1630,0,11:28:25.571620
15660,14667,251728,242862,1640,0,11:28:25.612382
15659,14666,251730,242864,1650,0,11:28:25.651927
15660,14667,251733,242864,1660,0,11:28:25.691640
15662,14668,251729,242860,1670,0,11:28:25.732070
15659,14666,251731,242867,1680,0,11:28:25.771651
15656,14663,251732,242864,1690,0,11:28:25.811636
15665,14669,251734,242863,1700,0,11:28:25.851995
15708,14671,251731,242870,1710,0,11:28:25.891596
15691,14666,251724,242857,1720,0,11:28:25.932208
15634,14663,251734,242859,1730,0,11:28:25.971403
15654,14658,251754,242868,1740,0,11:28:26.012146
15659,14667,251719,242862,1750,0,11:28:26.052131
15658,14663,251710,242860,1760,0,11:28:26.092241
15660,14666,251731,242865,1770,0,11:28:26.131537
15659,14664,251726,242855,1780,0,11:28:26.171555
15659,14665,251732,242864,1790,0,11:28:26.211604
15658,14666,251730,242866,1800,0,11:28:26.251394
15658,14664,251723,242858,1810,0,11:28:26.291662
15657,14664,251729,242865,1820,0,11:28:26.332327
15680,14668,251731,242866,1830,0,11:28:26.371682
15607,14665,251722,242858,1840,0,11:28:26.411612
15647,14663,251723,242855,1850,0,11:28:26.451922
15685,14670,251744,242865,1860,0,11:28:26.491688
15654,14665,251695,242855,1870,0,11:28:26.532356
15657,14663,251699,242852,1880,0,11:28:26.571687
15662,14669,251738,242841,1890,0,11:28:26.611683
15659,14665,251715,242851,1900,0,11:28:26.651976
15660,14665,251716,242854,1910,0,11:28:26.692292
15658,14665,251717,242847,1920,0,11:28:26.731419
15658,14665,251714,242847,1930,0,11:28:26.771600
15659,14663,251714,242848,1940,0,11:28:26.811687
15659,14664,251713,242850,1950,0,11:28:26.851815
15658,14664,251715,242849,1960,0,11:28:26.891619
15686,14667,251719,242854,1970,0,11:28:26.931798
15702,14665,251716,242853,1980,0,11:28:26.971381
15598,14662,251713,242850,1990,0,11:28:27.011503
15633,14663,251725,242841,2000,0,11:28:27.052089
15659,14664,251716,242847,2010,0,11:28:27.091620
15659,14667,251699,242853,2020,0,11:28:27.132121
15655,14661,251720,242851,2030,0,11:28:27.172383
16117,15093,251712,242849,2040,0,11:28:27.211633
17511,16398,251711,242847,2050,0,11:28:27.251957
17511,16400,251713,242846,2060,0,11:28:27.291520
17508,16399,251710,242841,2070,0,11:28:27.332278
17510,16399,251711,242839,2080,0,11:28:27.371649
17514,16401,251711,242835,2090,0,11:28:27.412436
17511,16400,251710,242841,2100,0,11:28:27.451973
17515,16401,251713,242845,2110,0,11:28:27.491481
17514,16397,251710,242850,2120,0,11:28:27.532095
17536,16401,251711,242845,2130,0,11:28:27.571428
17483,16400,251708,242844,2140,0,11:28:27.612770
17511,16401,251688,242847,2150,0,11:28:27.651935
