Acel_X,Acel_Y,Acel_Z,AngVel_X,AngVel_Y,AngVel_Z,PacketCounter,PacketLoss,Timestamp
-86,32,7631,3128,-28550,-2210,163,0,11:28:19.703053
-85,35,7630,53,-428,-32,173,10,11:28:19.743253
-85,35,7614,49,-419,-34,183,10,11:28:19.782303
-86,53,7605,48,-425,-33,193,10,11:28:19.822761
-95,30,7611,50,-424,-42,203,10,11:28:19.862142
-82,40,7613,50,-425,-35,213,10,11:28:19.912192
-79,32,7627,49,-426,-34,223,10,11:28:19.942222
-88,43,7607,40,-425,-30,233,10,11:28:19.983046
-82,41,7611,51,-420,-32,243,10,11:28:20.022191
-86,47,7613,50,-424,-34,253,10,11:28:20.062170
-91,33,7617,53,-420,-33,263,10,11:28:20.103213
-100,54,7611,53,-430,-32,273,10,11:28:20.142260
-82,40,7601,48,-422,-33,283,10,11:28:20.182089
-82,30,7614,54,-428,-33,293,10,11:28:20.223254
-88,30,7625,55,-417,-30,303,10,11:28:20.262194
-93,39,7631,47,-422,-30,313,10,11:28:20.302208
-78,42,7612,54,-424,-35,323,10,11:28:20.342271
-92,44,7609,54,-425,-35,333,10,11:28:20.382200
-84,39,7619,53,-423,-35,343,10,11:28:20.422233
-81,36,7608,58,-416,-34,353,10,11:28:20.462679
-80,29,7624,56,-424,-29,363,10,11:28:20.533382
-84,39,7615,54,-424,-41,373,10,11:28:20.564299
-90,34,7627,49,-427,-34,383,10,11:28:20.587238
-86,35,7624,51,-419,-35,393,10,11:28:20.632118
-81,33,7629,47,-425,-36,403,10,11:28:20.662180
-104,22,7606,44,-422,-37,413,10,11:28:20.702391
-95,37,7611,53,-424,-35,423,10,11:28:20.741951
-88,32,7618,53,-422,-37,433,10,11:28:20.783042
-94,37,7628,49,-423,-37,443,10,11:28:20.822848
-90,25,7611,48,-422,-27,453,10,11:28:20.862705
-84,33,7615,44,-424,-33,463,10,11:28:20.912225
-90,34,7616,45,-425,-36,473,10,11:28:20.942102
-87,29,7613,58,-423,-34,483,10,11:28:20.982403
-89,27,7616,47,-418,-35,493,10,11:28:21.022237
-93,32,7627,50,-424,-34,503,10,11:28:21.061983
-103,39,7617,52,-425,-34,513,10,11:28:21.103071
-81,45,7598,49,-422,-32,523,10,11:28:21.142415
-86,29,7615,51,-423,-34,533,10,11:28:21.182045
-86,32,7626,60,-418,-34,543,10,11:28:21.222212
-77,40,7627,40,-425,-31,553,10,11:28:21.262331
-69,46,7617,48,-429,-40,563,10,11:28:21.302379
-90,36,7630,52,-425,-36,573,10,11:28:21.342782
-96,32,7612,51,-425,-31,583,10,11:28:21.382830
-82,41,7616,47,-423,-35,593,10,11:28:21.422494
-71,36,7628,50,-422,-30,603,10,11:28:21.462196
-88,37,7615,45,-420,-34,613,10,11:28:21.502605
-81,40,7619,49,-427,-39,623,10,11:28:21.542574
-82,33,7606,53,-421,-39,633,10,11:28:21.583049
-74,30,7607,48,-417,-35,643,10,11:28:21.622852
-97,31,7612,42,-424,-31,653,10,11:28:21.662420
-76,21,7632,46,-427,-39,663,10,11:28:21.702197
-89,35,7620,50,-429,-32,673,10,11:28:21.742096
-95,48,7640,48,-426,-38,683,10,11:28:21.782405
-90,41,7624,56,-418,-27,693,10,11:28:21.822228
-87,43,7612,52,-423,-31,703,10,11:28:21.863044
-91,33,7620,50,-426,-33,713,10,11:28:21.903216
-86,35,7623,45,-427,-37,723,10,11:28:21.942406
