PPG_IR1,PPG_IR2,PPG_G1,PPG_G2,PacketCounter,PacketLoss,Timestamp
154592,140003,202130,203862,500,10,10:50:02.161203
154587,139993,202137,203866,510,0,10:50:02.200098
154572,139999,202130,203861,520,0,10:50:02.240037
154584,140000,202129,203862,530,0,10:50:02.279798
154573,139987,202128,203860,540,0,10:50:02.320150
154594,139993,202098,203854,550,0,10:50:02.360554
154548,139985,202124,203849,560,0,10:50:02.400371
154606,139989,202127,203855,570,0,10:50:02.440573
154574,139990,202143,203853,580,0,10:50:02.480473
154575,139985,202062,203850,590,0,10:50:02.520349
154568,139988,202125,203848,600,0,10:50:02.560612
154577,139993,202118,203855,610,0,10:50:02.599971
154566,139976,202115,203849,620,0,10:50:02.639920
154574,139990,202119,203851,630,0,10:50:02.680340
154588,139985,202124,203851,640,0,10:50:02.719917
154566,139971,202114,203841,650,0,10:50:02.759636
154570,139980,202119,203857,660,0,10:50:02.801172
154592,139985,202114,203847,670,0,10:50:02.841051
154556,139972,202126,203843,680,0,10:50:02.880436
154549,139972,202113,203847,690,0,10:50:02.920378
154589,139991,202127,203846,700,0,10:50:02.960344
154533,139979,202104,203844,710,0,10:50:03.000598
154550,139968,202072,203840,720,0,10:50:03.039849
154554,139968,202118,203834,730,0,10:50:03.080118
154556,139967,202123,203847,740,0,10:50:03.120305
154555,139969,202105,203837,750,0,10:50:03.160384
154557,139971,202101,203837,760,0,10:50:03.200087
154558,139972,202105,203837,770,0,10:50:03.240456
154556,139967,202097,203837,780,0,10:50:03.279676
154562,139967,202101,203831,790,0,10:50:03.320996
154554,139972,202103,203839,800,0,10:50:03.359870
154556,139950,202099,203833,810,0,10:50:03.400018
154539,139962,202109,203831,820,0,10:50:03.440633
154547,139961,202094,203836,830,0,10:50:03.480203
154522,139959,202095,203834,840,0,10:50:03.510468
154564,139962,202101,203828,850,0,10:50:03.550457
154541,139960,202123,203833,860,0,10:50:03.600096
154546,139959,202106,203835,870,0,10:50:03.640556
154549,139963,202153,203828,880,0,10:50:03.680681
154539,139955,202075,203825,890,0,10:50:03.720207
154550,139959,202091,203821,900,0,10:50:03.759634
154547,139953,202099,203829,910,0,10:50:03.800547
154554,139965,202090,203824,920,0,10:50:03.830606
154542,139955,202088,203824,930,0,10:50:03.871263
154540,139947,202087,203823,940,0,10:50:03.910633
154541,139957,202084,203821,950,0,10:50:03.949724
154541,139956,202088,203826,960,0,10:50:03.990011
154542,139955,202086,203817,970,0,10:50:04.030242
154530,139951,202082,203816,980,0,10:50:04.070376
154567,139955,202080,203816,990,0,10:50:04.110284
154518,139962,202108,203815,1000,0,10:50:04.150269
154535,139950,202066,203816,1010,0,10:50:04.199816
154535,139952,202078,203819,1020,0,10:50:04.230215
154530,139951,202061,203815,1030,0,10:50:04.270800
154522,139933,202083,203819,1040,0,10:50:04.310109
154534,139953,202080,203821,1050,0,10:50:04.350488
154541,139957,202080,203814,1060,0,10:50:04.390161
154525,139938,202083,203810,1070,0,10:50:04.430558
154526,139938,202082,203811,1080,0,10:50:04.470707
154524,139941,202077,203810,1090,0,10:50:04.509743
154525,139936,202082,203812,1100,0,10:50:04.549693
154547,139935,202081,203808,1110,0,10:50:04.589738
154498,139935,202077,203809,1120,0,10:50:04.630441
154516,139935,202077,203811,1130,0,10:50:04.670249
154500,139941,202076,203810,1140,0,10:50:04.709576
154527,139941,202023,203805,1150,0,10:50:04.749552
154521,139935,202091,203803,1160,0,10:50:04.790529
154518,139927,202087,203811,1170,0,10:50:04.830224
154524,139934,202075,203809,1180,0,10:50:04.869875
154523,139933,202074,203799,1190,0,10:50:04.909673
154516,139931,202077,203803,1200,0,10:50:04.950491
154520,139931,202077,203803,1210,0,10:50:04.989858
154515,139926,202075,203806,1220,0,10:50:05.030770
154511,139932,202071,203801,1230,0,10:50:05.069918
154514,139927,202072,203807,1240,0,10:50:05.110738
154529,139934,202072,203816,1250,0,10:50:05.150592
154507,139931,202070,203802,1260,0,10:50:05.190150
154497,139917,202066,203804,1270,0,10:50:05.230894
154538,139934,202073,203805,1280,0,10:50:05.269732
154515,139931,202071,203799,1290,0,10:50:05.310787
154514,139928,202071,203801,1300,0,10:50:05.349896
154511,139922,202091,203803,1310,0,10:50:05.390433
154509,139925,202063,203799,1320,0,10:50:05.430403
154506,139922,202063,203794,1330,0,10:50:05.469938
154516,139921,202065,203798,1340,0,10:50:05.512201
154510,139925,202066,203798,1350,0,10:50:05.550267
154510,139923,202062,203805,1360,0,10:50:05.589945
154511,139920,202061,203793,1370,0,10:50:05.630723
154506,139914,202061,203792,1380,0,10:50:05.670642
154497,139921,202063,203799,1390,0,10:50:05.710104
154479,139907,202063,203794,1400,0,10:50:05.749740
154526,139913,202056,203793,1410,0,10:50:05.789938
154548,139923,202060,203797,1420,0,10:50:05.830988
154469,139916,202068,203793,1430,0,10:50:05.870516
154500,139913,202065,203789,1440,0,10:50:05.909977
154498,139913,202039,203791,1450,0,10:50:05.950417
154509,139922,202033,203797,1460,0,10:50:05.991786
154495,139911,202056,203792,1470,0,10:50:06.029741
154515,139925,202055,203788,1480,0,10:50:06.069835
154502,139916,202062,203794,1490,0,10:50:06.110883
154494,139909,202055,203793,1500,0,10:50:06.149926
154495,139904,202054,203784,1510,0,10:50:06.190546
154494,139909,202050,203783,1520,0,10:50:06.230501
154491,139910,202049,203787,1530,0,10:50:06.270020
154509,139910,202049,203785,1540,0,10:50:06.310212
154505,139911,202051,203790,1550,0,10:50:06.351381
154472,139902,202057,203792,1560,0,10:50:06.390340
154489,139909,202070,203776,1570,0,10:50:06.429923
154500,139909,202040,203789,1580,0,10:50:06.470483
154498,139912,202029,203782,1590,0,10:50:06.510124
154501,139913,202044,203779,1600,0,10:50:06.550027
154492,139901,202050,203778,1610,0,10:50:06.590770
154482,139895,202051,203782,1620,0,10:50:06.630751
154490,139910,202044,203776,1630,0,10:50:06.670745
154498,139910,202041,203778,1640,0,10:50:06.710522
154490,139904,202046,203786,1650,0,10:50:06.749901
154489,139906,202047,203784,1660,0,10:50:06.790883
154478,139899,202045,203783,1670,0,10:50:06.829792
154507,139909,202044,203777,1680,0,10:50:06.871194
154474,139906,202041,203780,1690,0,10:50:06.910853
