Acel_X,Acel_Y,Acel_Z,AngVel_X,AngVel_Y,AngVel_Z,PacketCounter,PacketLoss,Timestamp
-127,-10,7815,8383,-32712,15604,142,0,11:28:19.451084
-126,-14,7801,162,-629,302,152,10,11:28:19.481263
-142,-18,7817,161,-625,299,162,10,11:28:19.531070
-159,-21,7794,164,-624,297,172,10,11:28:19.571262
-140,-20,7791,163,-628,300,182,10,11:28:19.600522
-133,-3,7817,163,-628,301,192,10,11:28:19.640140
-130,-14,7802,168,-627,303,202,10,11:28:19.681156
-144,-10,7821,164,-630,306,212,10,11:28:19.731262
-127,-25,7822,161,-629,304,222,10,11:28:19.761266
-144,1,7808,164,-627,299,232,10,11:28:19.801193
-136,-11,7823,164,-629,304,242,10,11:28:19.841053
-141,-22,7810,160,-626,297,252,10,11:28:19.881244
-144,-9,7797,164,-629,297,262,10,11:28:19.931254
-145,-17,7818,167,-630,303,272,10,11:28:19.960179
-135,1,7804,164,-628,302,282,10,11:28:20.000200
-136,-15,7804,169,-628,299,292,10,11:28:20.041225
-144,-15,7816,170,-628,298,302,10,11:28:20.081268
-140,-12,7810,161,-630,305,312,10,11:28:20.120110
-152,-5,7813,159,-631,303,322,10,11:28:20.160647
-136,-12,7801,164,-627,304,332,10,11:28:20.201121
-131,-3,7813,164,-626,303,342,10,11:28:20.240895
-134,-11,7802,166,-633,299,352,10,11:28:20.281265
-131,-17,7808,158,-636,302,362,10,11:28:20.321357
-133,-6,7809,163,-621,306,372,10,11:28:20.360696
-134,4,7818,162,-634,296,382,10,11:28:20.400125
-131,-23,7815,161,-619,303,392,10,11:28:20.440842
-144,-7,7804,162,-630,297,402,10,11:28:20.481513
-148,-12,7815,160,-633,297,412,10,11:28:20.531388
-139,-18,7811,161,-629,299,422,10,11:28:20.561308
-142,-28,7821,159,-628,302,432,10,11:28:20.603196
-144,-16,7810,170,-630,301,442,10,11:28:20.641095
-127,-14,7829,158,-627,299,452,10,11:28:20.682736
-153,-22,7806,165,-626,299,462,10,11:28:20.731177
-136,-19,7802,169,-624,299,472,10,11:28:20.759977
-135,-11,7814,163,-630,297,482,10,11:28:20.800825
-141,-12,7829,166,-632,308,492,10,11:28:20.841039
-130,-20,7807,170,-632,302,502,10,11:28:20.881243
-136,-14,7809,166,-627,300,512,10,11:28:20.921273
-128,-3,7807,161,-633,299,522,10,11:28:20.961344
-139,-9,7813,163,-630,297,532,10,11:28:21.001041
-126,-26,7818,160,-626,299,542,10,11:28:21.041084
-135,-23,7812,159,-634,300,552,10,11:28:21.081083
-140,-15,7811,160,-627,296,562,10,11:28:21.121261
-149,-20,7810,160,-628,303,572,10,11:28:21.161358
-136,-5,7806,163,-632,305,582,10,11:28:21.200365
-125,-10,7821,163,-629,297,592,10,11:28:21.241310
-142,-15,7818,165,-628,296,602,10,11:28:21.280641
-133,-15,7801,159,-628,300,612,10,11:28:21.321086
-132,-8,7818,162,-631,300,622,10,11:28:21.360772
-137,-11,7823,165,-629,301,632,10,11:28:21.400986
-135,-11,7811,154,-634,299,642,10,11:28:21.440255
-133,-7,7817,159,-630,301,652,10,11:28:21.481145
-144,2,7810,158,-627,302,662,10,11:28:21.520143
-141,-9,7820,161,-625,305,672,10,11:28:21.560537
-148,-25,7813,163,-626,299,682,10,11:28:21.600632
-136,-8,7803,158,-622,303,692,10,11:28:21.640311
-140,-16,7813,165,-626,304,702,10,11:28:21.681104
-143,-10,7813,166,-628,300,712,10,11:28:21.730420
-133,-1,7817,160,-629,302,722,10,11:28:21.760460
-139,-5,7824,160,-630,303,732,10,11:28:21.801024
-136,-11,7823,164,-630,304,742,10,11:28:21.840417
-141,-6,7796,162,-623,296,752,10,11:28:21.881920
-136,-12,7806,157,-626,299,762,10,11:28:21.921279
-132,-16,7818,171,-626,300,772,10,11:28:21.960396
-148,-25,7827,161,-631,304,782,10,11:28:22.000786
-139,-32,7809,166,-626,300,792,10,11:28:22.040320
-151,-15,7812,167,-632,303,802,10,11:28:22.081213
-149,-28,7825,172,-629,301,812,10,11:28:22.121438
-141,-16,7813,158,-620,301,822,10,11:28:22.160410
-134,-13,7807,164,-626,298,832,10,11:28:22.201041
-140,-12,7826,165,-627,303,842,10,11:28:22.240459
-134,-19,7827,160,-633,300,852,10,11:28:22.281110
-137,-4,7811,162,-632,301,862,10,11:28:22.320271
-130,-8,7814,162,-629,300,872,10,11:28:22.360211
-136,-9,7819,166,-628,306,882,10,11:28:22.401099
-139,-23,7815,162,-630,299,892,10,11:28:22.440412
-136,-9,7816,159,-638,304,902,10,11:28:22.481191
-149,-15,7829,165,-630,303,912,10,11:28:22.520343
-140,-24,7819,159,-625,301,922,10,11:28:22.560441
-146,-27,7811,159,-628,304,932,10,11:28:22.600546
