PPG_IR1,PPG_IR2,PPG_G1,PPG_G2,PacketCounter,PacketLoss,Timestamp
112803,89034,292069,214333,1850,0,09:55:41.934332
112808,89043,292076,214338,1860,0,09:55:41.973837
112799,89038,292074,214337,1870,0,09:55:42.014327
112799,89042,292077,214346,1880,0,09:55:42.053686
112801,89041,292083,214341,1890,0,09:55:42.094358
112804,89038,292080,214339,1900,0,09:55:42.133681
112791,89032,292073,214336,1910,0,09:55:42.174299
112793,89034,292078,214340,1920,0,09:55:42.223649
112806,89047,292082,214343,1930,0,09:55:42.254137
112796,89037,292079,214343,1940,0,09:55:42.293672
112785,89040,292070,214337,1950,0,09:55:42.333128
112787,89038,292069,214332,1960,0,09:55:42.373654
112780,89039,292069,214328,1970,0,09:55:42.414190
112786,89038,292076,214327,1980,0,09:55:42.454558
112795,89043,292077,214337,1990,0,09:55:42.494324
112799,89036,292072,214340,2000,0,09:55:42.533662
112802,89039,292069,214331,2010,0,09:55:42.574306
112799,89045,292061,214327,2020,0,09:55:42.614105
112802,89039,292064,214331,2030,0,09:55:42.654334
114675,90520,292071,214330,2040,0,09:55:42.693697
118776,93771,292058,214327,2050,0,09:55:42.733897
118790,93782,292068,214334,2060,0,09:55:42.773671
118779,93775,292055,214327,2070,0,09:55:42.814329
118779,93777,292062,214331,2080,0,09:55:42.853827
118772,93774,292053,214324,2090,0,09:55:42.893515
118773,93782,292059,214325,2100,0,09:55:42.943382
118745,93776,292058,214334,2110,0,09:55:42.973878
118772,93779,292051,214319,2120,0,09:55:43.013800
118764,93781,292056,214325,2130,0,09:55:43.053404
118756,93782,292050,214328,2140,0,09:55:43.093618
118747,93776,292048,214316,2150,0,09:55:43.134313
118754,93776,292049,214318,2160,0,09:55:43.173655
118762,93778,292051,214318,2170,0,09:55:43.214030
118771,93773,292059,214327,2180,0,09:55:43.253621
118765,93774,292051,214318,2190,0,09:55:43.303645
118767,93776,292054,214323,2200,0,09:55:43.333645
118765,93769,292051,214327,2210,0,09:55:43.373038
118768,93770,292053,214327,2220,0,09:55:43.413590
118814,93778,292044,214323,2230,0,09:55:43.454292
118812,93777,292049,214319,2240,0,09:55:43.493634
118793,93768,292048,214320,2250,0,09:55:43.534302
118803,93770,292049,214319,2260,0,09:55:43.573608
118796,93777,292055,214324,2270,0,09:55:43.614305
118785,93770,292059,214334,2280,0,09:55:43.654093
118774,93766,292047,214322,2290,0,09:55:43.703560
118771,93768,292045,214318,2300,0,09:55:43.733589
118773,93775,292055,214324,2310,0,09:55:43.774296
118764,93770,292048,214322,2320,0,09:55:43.814248
118763,93770,292048,214321,2330,0,09:55:43.854086
118734,93773,292052,214331,2340,0,09:55:43.903629
118734,93776,292047,214321,2350,0,09:55:43.934326
118731,93769,292043,214317,2360,0,09:55:43.973637
118746,93771,292066,214317,2370,0,09:55:44.014322
118749,93769,292063,214315,2380,0,09:55:44.053627
118749,93762,292056,214314,2390,0,09:55:44.094291
118754,93768,292057,214321,2400,0,09:55:44.133656
