PPG_IR1,PPG_IR2,PPG_G1,PPG_G2,PacketCounter,PacketLoss,Timestamp
109357,127020,206406,197202,580,10,10:50:02.533185
109354,127018,206403,197195,590,0,10:50:02.573205
109353,127019,206400,197202,600,0,10:50:02.612890
109357,127029,206401,197195,610,0,10:50:02.652196
109345,127009,206398,197195,620,0,10:50:02.692142
109350,127015,206401,197198,630,0,10:50:02.733333
109346,127013,206400,197198,640,0,10:50:02.772126
109346,127008,206393,197195,650,0,10:50:02.812542
109349,127012,206393,197190,660,0,10:50:02.853031
109359,127021,206397,197189,670,0,10:50:02.892486
109360,127016,206395,197187,680,0,10:50:02.932547
109351,127014,206391,197187,690,0,10:50:02.972351
109352,127012,206397,197187,700,0,10:50:03.013215
109345,127008,206392,197192,710,0,10:50:03.052954
109351,127018,206390,197184,720,0,10:50:03.092737
109349,127014,206387,197188,730,0,10:50:03.132382
109351,127016,206387,197186,740,0,10:50:03.172273
109341,127002,206382,197184,750,0,10:50:03.212064
109352,127013,206394,197192,760,0,10:50:03.252970
109340,126994,206389,197178,770,0,10:50:03.293258
109346,127011,206385,197179,780,0,10:50:03.333960
109336,126995,206385,197177,790,0,10:50:03.372542
109340,126999,206380,197177,800,0,10:50:03.413095
109340,126999,206378,197170,810,0,10:50:03.452871
109337,126998,206373,197167,820,0,10:50:03.493163
109340,126997,206381,197179,830,0,10:50:03.532934
109338,126995,206381,197181,840,0,10:50:03.572870
109343,127001,206376,197170,850,0,10:50:03.612985
109342,127001,206380,197177,860,0,10:50:03.653192
109337,126993,206376,197172,870,0,10:50:03.692665
109338,126991,206376,197173,880,0,10:50:03.733662
109336,126994,206371,197168,890,0,10:50:03.773221
109332,126986,206371,197174,900,0,10:50:03.813203
109335,126996,206373,197168,910,0,10:50:03.852285
109341,126999,206371,197164,920,0,10:50:03.892810
109336,126993,206370,197169,930,0,10:50:03.932863
109340,126993,206367,197166,940,0,10:50:03.973210
109335,126997,206356,197152,950,0,10:50:04.013021
109328,126982,206367,197163,960,0,10:50:04.052476
109332,126986,206358,197157,970,0,10:50:04.093326
109334,126986,206364,197162,980,0,10:50:04.132252
109332,126988,206371,197172,990,0,10:50:04.171972
109335,126986,206357,197161,1000,0,10:50:04.213265
109336,126989,206356,197159,1010,0,10:50:04.252752
109341,126997,206363,197160,1020,0,10:50:04.292750
109342,127000,206357,197158,1030,0,10:50:04.333183
109325,126982,206366,197165,1040,0,10:50:04.372210
109328,126985,206359,197160,1050,0,10:50:04.412838
109323,126979,206360,197166,1060,0,10:50:04.453481
109329,126987,206355,197152,1070,0,10:50:04.493349
109330,126990,206356,197157,1080,0,10:50:04.533567
109327,126984,206356,197163,1090,0,10:50:04.572150
109330,126985,206356,197158,1100,0,10:50:04.613540
109333,126989,206359,197163,1110,0,10:50:04.651873
109329,126986,206358,197165,1120,0,10:50:04.692317
109335,126985,206356,197158,1130,0,10:50:04.733489
109342,126983,206352,197155,1140,0,10:50:04.772527
109340,126987,206352,197161,1150,0,10:50:04.813505
109341,126990,206352,197153,1160,0,10:50:04.853602
109332,126982,206356,197157,1170,0,10:50:04.892638
109328,126976,206355,197153,1180,0,10:50:04.932482
109343,126987,206352,197150,1190,0,10:50:04.972951
109324,126969,206354,197155,1200,0,10:50:05.013373
109334,126987,206353,197147,1210,0,10:50:05.052950
109327,126976,206346,197143,1220,0,10:50:05.093442
109324,126976,206357,197152,1230,0,10:50:05.132540
109305,126967,206347,197148,1240,0,10:50:05.172168
109313,126967,206349,197151,1250,0,10:50:05.213401
109325,126979,206348,197141,1260,0,10:50:05.253415
109319,126964,206350,197145,1270,0,10:50:05.293373
109315,126968,206338,197138,1280,0,10:50:05.333388
109318,126970,206349,197150,1290,0,10:50:05.372685
109331,126981,206349,197145,1300,0,10:50:05.412451
109320,126969,206350,197152,1310,0,10:50:05.452359
109325,126967,206347,197148,1320,0,10:50:05.493563
109322,126971,206349,197147,1330,0,10:50:05.533374
109321,126971,206347,197151,1340,0,10:50:05.572722
109320,126968,206344,197153,1350,0,10:50:05.613645
109320,126972,206335,197145,1360,0,10:50:05.653403
109319,126968,206344,197154,1370,0,10:50:05.692105
109322,126975,206340,197145,1380,0,10:50:05.733377
109310,126959,206340,197147,1390,0,10:50:05.772666
109320,126965,206338,197144,1400,0,10:50:05.813393
109317,126970,206336,197136,1410,0,10:50:05.852587
109312,126957,206339,197138,1420,0,10:50:05.893483
109310,126960,206333,197142,1430,0,10:50:05.933401
109329,126969,206334,197135,1440,0,10:50:05.972360
109312,126971,206326,197134,1450,0,10:50:06.012979
109309,126958,206326,197131,1460,0,10:50:06.052916
109330,126965,206328,197128,1470,0,10:50:06.092652
109327,126959,206328,197134,1480,0,10:50:06.132463
109318,126956,206325,197133,1490,0,10:50:06.173089
109307,126947,206335,197138,1500,0,10:50:06.212044
109313,126951,206331,197129,1510,0,10:50:06.252822
109312,126955,206336,197133,1520,0,10:50:06.292958
