Acel_X,Acel_Y,Acel_Z,AngVel_X,AngVel_Y,AngVel_Z,PacketCounter,PacketLoss,Timestamp
3,-202,7812,210,-579,294,1672,10,10:50:06.903139
-6,-217,7821,208,-587,293,1682,10,10:50:06.932717
-3,-211,7818,209,-584,296,1692,10,10:50:06.973140
1,-204,7831,210,-581,293,1702,10,10:50:07.013836
-3,-198,7822,207,-583,291,1712,10,10:50:07.053076
6,-204,7806,204,-582,293,1722,10,10:50:07.103003
0,-206,7822,213,-580,293,1732,10,10:50:07.133649
8,-204,7812,209,-582,292,1742,10,10:50:07.173467
5,-207,7815,206,-584,296,1752,10,10:50:07.213534
-12,-215,7812,206,-586,296,1762,10,10:50:07.253329
5,-205,7823,203,-580,296,1772,10,10:50:07.293606
0,-194,7812,206,-581,294,1782,10,10:50:07.333633
0,-196,7815,207,-577,298,1792,10,10:50:07.373760
7,-208,7813,208,-582,293,1802,10,10:50:07.412867
11,-200,7827,211,-584,292,1812,10,10:50:07.453141
9,-199,7834,205,-584,294,1822,10,10:50:07.493095
-7,-199,7822,212,-585,291,1832,10,10:50:07.534099
-3,-211,7805,207,-585,296,1842,10,10:50:07.573971
7,-202,7832,213,-582,290,1852,10,10:50:07.612868
-6,-208,7809,209,-583,292,1862,10,10:50:07.652759
-16,-211,7809,204,-583,298,1872,10,10:50:07.693989
-4,-209,7812,206,-585,295,1882,10,10:50:07.733582
-4,-204,7820,202,-583,296,1892,10,10:50:07.773743
-3,-210,7800,209,-578,294,1902,10,10:50:07.813104
7,-197,7819,209,-585,288,1912,10,10:50:07.853220
4,-193,7810,212,-580,293,1922,10,10:50:07.893232
7,-191,7821,209,-588,295,1932,10,10:50:07.942177
-2,-202,7804,200,-584,292,1942,10,10:50:07.973079
0,-193,7818,203,-584,293,1952,10,10:50:08.013277
3,-195,7828,208,-587,292,1962,10,10:50:08.054013
-6,-205,7807,207,-579,294,1972,10,10:50:08.092912
-11,-207,7821,208,-582,295,1982,10,10:50:08.132966
-1,-219,7821,204,-587,299,1992,10,10:50:08.173048
7,-202,7813,199,-580,296,2002,10,10:50:08.213288
-4,-215,7811,205,-587,296,2012,10,10:50:08.253450
2,-205,7811,210,-586,297,2022,10,10:50:08.293312
18,-193,7824,205,-583,291,2032,10,10:50:08.332952
9,-204,7808,209,-578,294,2042,10,10:50:08.373258
5,-213,7816,204,-585,296,2052,10,10:50:08.413315
-7,-205,7830,204,-584,290,2062,10,10:50:08.452806
0,-206,7812,208,-580,292,2072,10,10:50:08.494323
-6,-197,7812,207,-585,293,2082,10,10:50:08.532407
-7,-194,7812,203,-582,295,2092,10,10:50:08.573775
-3,-208,7819,207,-585,293,2102,10,10:50:08.613693
-4,-200,7818,206,-581,295,2112,10,10:50:08.652868
13,-196,7802,211,-577,293,2122,10,10:50:08.693632
0,-196,7820,204,-579,293,2132,10,10:50:08.733025
-1,-210,7820,208,-578,290,2142,10,10:50:08.773064
-7,-206,7816,211,-577,289,2152,10,10:50:08.813153
0,-195,7816,211,-583,294,2162,10,10:50:08.853275
-3,-214,7833,212,-580,294,2172,10,10:50:08.893358
7,-203,7817,205,-582,295,2182,10,10:50:08.933837
-3,-201,7817,204,-588,291,2192,10,10:50:08.973084
7,-200,7816,206,-585,296,2202,10,10:50:09.013573
5,-212,7817,209,-580,295,2212,10,10:50:09.053299
4,-206,7813,208,-586,292,2222,10,10:50:09.098196
-1,-204,7824,204,-584,294,2232,10,10:50:09.145070
3,-213,7823,211,-580,295,2242,10,10:50:09.175989
-7,-203,7809,204,-587,295,2252,10,10:50:09.215881
-8,-213,7806,203,-587,291,2262,10,10:50:09.253820
-1,-229,7810,205,-583,297,2272,10,10:50:09.293000
6,-208,7824,198,-584,290,2282,10,10:50:09.334057
5,-203,7810,207,-582,295,2292,10,10:50:09.373041
-1,-196,7822,204,-581,298,2302,10,10:50:09.415928
9,-195,7819,200,-585,294,2312,10,10:50:09.453824
-5,-204,7816,205,-584,291,2322,10,10:50:09.493550
-2,-189,7809,207,-586,297,2332,10,10:50:09.534441
-4,-195,7818,208,-583,294,2342,10,10:50:09.573337
12,-197,7822,200,-582,293,2352,10,10:50:09.613063
10,-203,7810,202,-584,292,2362,10,10:50:09.652984
8,-207,7829,207,-585,295,2372,10,10:50:09.693023
10,-205,7827,205,-588,295,2382,10,10:50:09.734011
2,-202,7819,207,-583,298,2392,10,10:50:09.772829
5,-195,7803,209,-583,292,2402,10,10:50:09.813074
-2,-209,7824,209,-582,300,2412,10,10:50:09.853521
-7,-199,7815,207,-580,292,2422,10,10:50:09.894171
7,-205,7811,207,-586,290,2432,10,10:50:09.933426
13,-205,7804,206,-587,293,2442,10,10:50:09.974295
17,-197,7817,209,-581,295,2452,10,10:50:10.013276
8,-210,7822,210,-584,291,2462,10,10:50:10.053518
-7,-196,7815,203,-584,294,2472,10,10:50:10.093327
-1,-202,7812,201,-587,296,2482,10,10:50:10.134132
7,-193,7828,208,-582,293,2492,10,10:50:10.173290
1,-190,7814,210,-584,295,2502,10,10:50:10.212720
-4,-204,7801,205,-583,293,2512,10,10:50:10.253073
-1,-190,7820,205,-583,295,2522,10,10:50:10.293272
3,-200,7800,210,-587,293,2532,10,10:50:10.333236
-6,-213,7818,206,-585,295,2542,10,10:50:10.373064
-5,-214,7807,209,-579,294,2552,10,10:50:10.413272
-5,-213,7821,211,-584,292,2562,10,10:50:10.453082
-3,-208,7819,209,-583,294,2572,10,10:50:10.493367
1,-202,7809,211,-583,289,2582,10,10:50:10.534450
14,-210,7811,209,-581,294,2592,10,10:50:10.573308
16,-207,7816,209,-585,295,2602,10,10:50:10.613242
-9,-194,7818,206,-582,294,2612,10,10:50:10.653126
11,-209,7815,206,-586,292,2622,10,10:50:10.693214
2,-208,7821,203,-587,291,2632,10,10:50:10.733452
4,-205,7819,205,-584,293,2642,10,10:50:10.773711
-10,-214,7808,203,-586,292,2652,10,10:50:10.813757
1,-212,7802,213,-585,298,2662,10,10:50:10.853283
6,-223,7822,210,-580,291,2672,10,10:50:10.903013
8,-195,7813,205,-584,292,2682,10,10:50:10.933351
-4,-204,7810,208,-583,294,2692,10,10:50:10.973061
4,-204,7817,213,-581,292,2702,10,10:50:11.012768
6,-206,7829,206,-584,297,2712,10,10:50:11.053077
4,-197,7819,205,-582,294,2722,10,10:50:11.092930
-1,-210,7823,207,-582,291,2732,10,10:50:11.133683
7,-196,7818,207,-581,294,2742,10,10:50:11.173323
3,-204,7810,208,-583,292,2752,10,10:50:11.213055
5,-199,7806,207,-581,293,2762,10,10:50:11.253491
9,-198,7821,211,-586,293,2772,10,10:50:11.293166
-2,-188,7834,210,-580,292,2782,10,10:50:11.334284
1,-198,7832,212,-581,292,2792,10,10:50:11.372904
-14,-197,7821,205,-582,290,2802,10,10:50:11.413291
12,-209,7836,211,-587,298,2812,10,10:50:11.453119
-3,-196,7809,213,-584,294,2822,10,10:50:11.493223
3,-205,7818,205,-580,291,2832,10,10:50:11.533638
7,-211,7808,205,-587,298,2842,10,10:50:11.573260
3,-219,7839,201,-584,291,2852,10,10:50:11.613664
-3,-193,7816,209,-586,294,2862,10,10:50:11.653427
-8,-204,7827,212,-587,295,2872,10,10:50:11.693622
8,-206,7817,209,-584,294,2882,10,10:50:11.732785
-4,-202,7824,210,-584,289,2892,10,10:50:11.773166
9,-200,7804,204,-585,288,2902,10,10:50:11.814161
5,-215,7810,209,-585,291,2912,10,10:50:11.853815
0,-202,7814,206,-590,292,2922,10,10:50:11.902576
4,-201,7823,210,-585,296,2932,10,10:50:11.933385
2,-202,7812,207,-582,295,2942,10,10:50:11.973079
7,-214,7829,201,-587,293,2952,10,10:50:12.013164
-2,-212,7815,204,-587,292,2962,10,10:50:12.053313
-4,-188,7821,208,-584,292,2972,10,10:50:12.093738
-6,-194,7823,207,-583,295,2982,10,10:50:12.132784
5,-215,7815,207,-587,294,2992,10,10:50:12.173076
20,-199,7814,208,-583,295,3002,10,10:50:12.213315
3,-206,7800,207,-579,296,3012,10,10:50:12.252892
-5,-210,7815,206,-583,295,3022,10,10:50:12.293351
-1,-201,7809,208,-583,291,3032,10,10:50:12.333043
4,-206,7824,211,-580,292,3042,10,10:50:12.373093
14,-208,7804,214,-587,295,3052,10,10:50:12.413042
12,-202,7833,205,-584,292,3062,10,10:50:12.453067
1,-205,7835,210,-584,288,3072,10,10:50:12.493013
13,-208,7823,204,-586,297,3082,10,10:50:12.533548
1,-194,7819,204,-587,290,3092,10,10:50:12.573727
2,-205,7813,205,-582,294,3102,10,10:50:12.613241
9,-210,7813,213,-582,296,3112,10,10:50:12.653289
1,-192,7820,208,-582,293,3122,10,10:50:12.693312
8,-202,7819,205,-588,290,3132,10,10:50:12.733620
2,-200,7811,211,-581,293,3142,10,10:50:12.773622
5,-198,7817,204,-583,296,3152,10,10:50:12.813314
4,-214,7818,205,-589,292,3162,10,10:50:12.853805
4,-197,7826,205,-587,293,3172,10,10:50:12.894306
14,-210,7815,210,-583,296,3182,10,10:50:12.932651
-3,-213,7812,201,-590,292,3192,10,10:50:12.973150
2,-194,7821,198,-577,296,3202,10,10:50:13.013316
-4,-201,7824,207,-584,297,3212,10,10:50:13.053204
3,-202,7820,201,-582,295,3222,10,10:50:13.093484
-5,-204,7812,206,-584,295,3232,10,10:50:13.133771
11,-206,7824,208,-581,295,3242,10,10:50:13.173003
-9,-201,7839,212,-582,295,3252,10,10:50:13.213618
8,-191,7817,204,-587,294,3262,10,10:50:13.253289
8,-204,7822,204,-583,287,3272,10,10:50:13.293181
3,-190,7804,211,-584,300,3282,10,10:50:13.333615
3,-212,7813,204,-587,295,3292,10,10:50:13.372745
0,-204,7812,202,-584,298,3302,10,10:50:13.413086
-1,-205,7810,207,-583,293,3312,10,10:50:13.452921
2,-200,7811,208,-583,294,3322,10,10:50:13.492782
-10,-210,7816,210,-586,290,3332,10,10:50:13.533426
12,-192,7824,211,-581,290,3342,10,10:50:13.573235
-4,-189,7824,206,-586,289,3352,10,10:50:13.613314
-10,-196,7823,213,-579,295,3362,10,10:50:13.653311
7,-202,7831,204,-580,298,3372,10,10:50:13.693589
7,-202,7815,212,-582,296,3382,10,10:50:13.732941
9,-198,7823,208,-581,296,3392,10,10:50:13.773317
9,-203,7813,203,-585,297,3402,10,10:50:13.812769
5,-204,7818,207,-585,294,3412,10,10:50:13.853091
3,-207,7816,204,-584,298,3422,10,10:50:13.902582
1,-187,7817,213,-580,294,3432,10,10:50:13.933665
14,-196,7830,207,-584,297,3442,10,10:50:13.973234
-1,-194,7825,215,-584,296,3452,10,10:50:14.013340
-7,-205,7820,204,-584,292,3462,10,10:50:14.053375
0,-199,7807,210,-581,294,3472,10,10:50:14.092948
2,-204,7812,210,-587,291,3482,10,10:50:14.133077
9,-206,7821,205,-582,294,3492,10,10:50:14.174194
7,-210,7825,207,-583,296,3502,10,10:50:14.213709
6,-210,7825,204,-578,293,3512,10,10:50:14.253194
2,-210,7817,210,-590,292,3522,10,10:50:14.293296
1,-212,7815,210,-584,292,3532,10,10:50:14.333088
-1,-213,7818,208,-581,294,3542,10,10:50:14.374182
12,-202,7812,208,-585,292,3552,10,10:50:14.412913
-6,-199,7822,202,-586,296,3562,10,10:50:14.453318
1,-197,7824,205,-582,292,3572,10,10:50:14.493181
-6,-207,7811,210,-588,295,3582,10,10:50:14.532735
2,-209,7817,214,-585,293,3592,10,10:50:14.575167
-10,-210,7813,204,-585,295,3602,10,10:50:14.612419
-3,-207,7809,200,-584,290,3612,10,10:50:14.652497
-15,-198,7818,207,-586,291,3622,10,10:50:14.692550
-10,-209,7820,206,-586,295,3632,10,10:50:14.732747
-1,-209,7819,206,-579,293,3642,10,10:50:14.772759
-6,-206,7815,205,-589,294,3652,10,10:50:14.812585
-2,-199,7810,205,-584,289,3662,10,10:50:14.853011
-4,-205,7835,211,-585,293,3672,10,10:50:14.893226
5,-212,7824,213,-585,291,3682,10,10:50:14.932740
7,-197,7806,207,-580,297,3692,10,10:50:14.972388
-8,-213,7815,204,-584,300,3702,10,10:50:15.013171
4,-203,7808,204,-581,301,3712,10,10:50:15.053617
-2,-204,7810,208,-589,295,3722,10,10:50:15.092467
7,-208,7809,208,-587,293,3732,10,10:50:15.132658
-3,-202,7822,210,-588,294,3742,10,10:50:15.172331
-10,-199,7822,211,-586,295,3752,10,10:50:15.223588
1,-199,7823,207,-583,292,3762,10,10:50:15.253448
-2,-206,7818,208,-581,290,3772,10,10:50:15.292558
4,-201,7813,208,-583,291,3782,10,10:50:15.332887
3,-203,7813,205,-589,292,3792,10,10:50:15.372426
-10,-213,7810,210,-580,289,3802,10,10:50:15.412959
-6,-212,7818,207,-583,294,3812,10,10:50:15.452765
8,-197,7820,204,-587,292,3822,10,10:50:15.492283
11,-201,7805,211,-580,291,3832,10,10:50:15.576061
1,-214,7817,201,-583,295,3842,10,10:50:15.576061
-7,-198,7833,204,-585,293,3852,10,10:50:15.612962
4,-192,7826,214,-579,293,3862,10,10:50:15.652954
6,-192,7817,206,-582,293,3872,10,10:50:15.693030
-2,-195,7822,205,-584,299,3882,10,10:50:15.732596
4,-187,7814,210,-583,293,3892,10,10:50:15.773053
6,-186,7820,205,-581,292,3902,10,10:50:15.813241
9,-223,7814,206,-586,294,3912,10,10:50:15.853247
-4,-196,7826,203,-584,295,3922,10,10:50:15.893318
0,-200,7805,209,-585,294,3932,10,10:50:15.933164
-11,-204,7821,207,-583,293,3942,10,10:50:15.972434
8,-207,7780,210,-581,293,3952,10,10:50:16.013184
3,-208,7808,209,-580,293,3962,10,10:50:16.052305
4,-201,7816,210,-588,296,3972,10,10:50:16.092252
-9,-209,7821,208,-585,292,3982,10,10:50:16.132440
2,-196,7821,204,-585,290,3992,10,10:50:16.172855
-12,-209,7820,212,-588,290,4002,10,10:50:16.212779
-16,-210,7810,206,-588,298,4012,10,10:50:16.253248
11,-205,7815,207,-587,296,4022,10,10:50:16.292583
13,-210,7822,205,-584,295,4032,10,10:50:16.333024
5,-204,7803,207,-580,294,4042,10,10:50:16.372761
-3,-210,7809,205,-588,295,4052,10,10:50:16.413406
-13,-213,7815,206,-585,292,4062,10,10:50:16.452866
-13,-219,7798,206,-585,292,4072,10,10:50:16.493243
-11,-212,7810,208,-584,292,4082,10,10:50:16.533427
-16,-198,7822,208,-580,292,4092,10,10:50:16.572352
-5,-206,7833,205,-585,295,4102,10,10:50:16.612732
1,-204,7834,207,-583,293,4112,10,10:50:16.653112
9,-206,7826,203,-585,296,4122,10,10:50:16.692268
-1,-214,7820,212,-584,297,4132,10,10:50:16.732750
0,-206,7804,211,-582,294,4142,10,10:50:16.772327
-7,-207,7815,206,-584,293,4152,10,10:50:16.812464
-6,-202,7821,206,-586,297,4162,10,10:50:16.852683
14,-208,7825,214,-581,293,4172,10,10:50:16.893352
6,-209,7816,211,-584,294,4182,10,10:50:16.932880
14,-219,7823,211,-582,296,4192,10,10:50:16.973192
-2,-206,7814,205,-586,294,4202,10,10:50:17.013011
3,-198,7820,210,-586,291,4212,10,10:50:17.053175
1,-188,7813,207,-586,291,4222,10,10:50:17.092578
8,-187,7807,209,-581,294,4232,10,10:50:17.132651
-9,-205,7818,203,-584,295,4242,10,10:50:17.172553
2,-194,7816,202,-588,291,4252,10,10:50:17.212550
-2,-190,7812,212,-586,297,4262,10,10:50:17.252337
10,-205,7822,212,-581,296,4272,10,10:50:17.292571
6,-208,7847,201,-587,293,4282,10,10:50:17.333164
0,-201,7813,206,-584,294,4292,10,10:50:17.372554
7,-207,7818,214,-583,292,4302,10,10:50:17.412484
6,-204,7821,205,-587,294,4312,10,10:50:17.452237
-4,-200,7811,208,-587,291,4322,10,10:50:17.493444
-2,-203,7815,210,-590,290,4332,10,10:50:17.532657
3,-201,7813,206,-585,293,4342,10,10:50:17.572982
19,-195,7822,203,-579,296,4352,10,10:50:17.612524
5,-216,7815,205,-584,295,4362,10,10:50:17.652694
8,-189,7805,210,-585,289,4372,10,10:50:17.693175
-3,-201,7819,205,-581,291,4382,10,10:50:17.733069
10,-200,7819,202,-580,294,4392,10,10:50:17.772497
1,-203,7807,206,-587,296,4402,10,10:50:17.812680
13,-205,7809,206,-586,291,4412,10,10:50:17.853056
-4,-202,7836,206,-583,295,4422,10,10:50:17.892936
7,-194,7819,214,-585,292,4432,10,10:50:17.934423
7,-211,7814,207,-584,291,4442,10,10:50:17.972759
8,-205,7838,209,-580,296,4452,10,10:50:18.012038
-1,-196,7821,212,-582,293,4462,10,10:50:18.053155
1,-203,7812,206,-584,291,4472,10,10:50:18.093035
6,-199,7818,206,-587,295,4482,10,10:50:18.132927
3,-206,7825,205,-589,295,4492,10,10:50:18.172951
4,-195,7800,207,-588,298,4502,10,10:50:18.213314
10,-189,7806,207,-579,294,4512,10,10:50:18.253078
11,-208,7818,200,-579,293,4522,10,10:50:18.292421
