ENMO,PacketCounter,TimeStamp
-0.045517224818468094,672,10:50:02.893484
-0.045622486621141434,922,10:50:03.893808
-0.045316651463508606,1172,10:50:04.893666
-0.04570303112268448,1422,10:50:05.893483
-0.04558930546045303,1672,10:50:06.893258
-0.04546882584691048,1922,10:50:07.893232
-0.04551295191049576,2172,10:50:08.892347
-0.04548115283250809,2422,10:50:09.893202
-0.04581350460648537,2672,10:50:10.893038
-0.04521207511425018,2922,10:50:11.893423
-0.04532594606280327,3172,10:50:12.893316
-0.04529239982366562,3422,10:50:13.893748
-0.045294247567653656,3672,10:50:14.893226
-0.045456551015377045,3922,10:50:15.892350
-0.04569084569811821,4172,10:50:16.892354
-0.04542941227555275,4422,10:50:17.892936
-0.045350875705480576,4672,10:50:18.892018
-0.045132827013731,4922,10:50:19.883541
-0.0459490567445755,5172,10:50:20.892855
-0.04555235058069229,5422,10:50:21.882493
-0.045616768300533295,5672,10:50:22.883191
-0.04535000026226044,5922,10:50:23.882828
-0.04525939002633095,6172,10:50:24.883761
-0.04558153077960014,6422,10:50:25.883772
-0.04572809115052223,6672,10:50:26.892660
-0.04552794620394707,6922,10:50:27.889563
-0.045612022280693054,7172,10:50:28.882567
-0.0458516888320446,7422,10:50:29.883394
-0.04552892595529556,7672,10:50:30.883764
-0.04540024697780609,7922,10:50:31.882449
-0.04549665004014969,8172,10:50:32.883587
-0.045149609446525574,8422,10:50:33.882566
-0.045286521315574646,8672,10:50:34.882895
-0.04530452564358711,8922,10:50:35.882167
-0.04530027508735657,9172,10:50:36.882578
-0.04565168544650078,9422,10:50:37.873473
-0.04542503505945206,9672,10:50:38.872952
-0.04529189690947533,9922,10:50:39.873772
-0.04564443230628967,10172,10:50:40.873875
-0.045268651098012924,10422,10:50:41.873783
-0.045279234647750854,10672,10:50:42.872082
-0.04540702700614929,10922,10:50:43.873448
-0.04499040171504021,11172,10:50:44.873900
-0.04543735086917877,11422,10:50:45.872756
-0.04546708986163139,11672,10:50:46.874043
-0.04509301483631134,11922,10:50:47.872782
-0.045411769300699234,12172,10:50:48.873334
-0.04534877464175224,12422,10:50:49.872594
-0.04492301121354103,12672,10:50:50.873277
-0.04505327343940735,12922,10:50:51.872772
-0.045419350266456604,13172,10:50:52.873160
-0.04556800797581673,13422,10:50:53.871881
-0.045278578996658325,13672,10:50:54.863101
-0.04507296532392502,13922,10:50:55.862697
-0.04584121331572533,14172,10:50:56.863049
-0.045910727232694626,14422,10:50:57.863090
-0.04518963769078255,14672,10:50:58.863934
-0.04523089528083801,14922,10:50:59.863281
-0.04558348283171654,15172,10:51:00.863263
-0.04561549052596092,15422,10:51:01.863269
-0.04551590606570244,15672,10:51:02.863283
-0.0453772209584713,15922,10:51:03.863614
-0.045380450785160065,16172,10:51:04.863178
-0.046127911657094955,16422,10:51:05.863175
-0.046114303171634674,16672,10:51:06.863430
-0.04615369811654091,16922,10:51:07.863096
-0.04617011174559593,17172,10:51:08.863295
-0.04604961350560188,17422,10:51:09.863305
-0.04566521197557449,17672,10:51:10.863762
-0.045969247817993164,17922,10:51:11.863193
-0.04600943624973297,18172,10:51:12.853498
-0.04579003155231476,18422,10:51:13.852924
-0.045965615659952164,18672,10:51:14.853556
-0.045862626284360886,18922,10:51:15.853378
-0.046011511236429214,19172,10:51:16.852771
-0.046149156987667084,19422,10:51:17.853053
-0.04584763944149017,19672,10:51:18.853389
-0.046008575707674026,19922,10:51:19.852608
-0.046051520854234695,20172,10:51:20.853815
-0.046050749719142914,20422,10:51:21.852889
-0.04592202976346016,20672,10:51:22.852873
-0.04607773944735527,20922,10:51:23.853095
-0.04604138061404228,21172,10:51:24.872278
-0.04654848203063011,21422,10:51:25.853241
-0.0463559590280056,21672,10:51:26.853321
-0.046456851065158844,21922,10:51:27.852844
-0.046117134392261505,22172,10:51:28.852620
-0.04650653898715973,22422,10:51:29.843267
-0.046497613191604614,22672,10:51:30.843008
-0.04643213748931885,22922,10:51:31.843097
-0.04627535864710808,23172,10:51:32.843166
-0.04616673290729523,23422,10:51:33.843267
-0.04679771885275841,23672,10:51:34.842965
-0.046550411731004715,23922,10:51:35.843149
-0.045955952256917953,24172,10:51:36.843449
-0.046114034950733185,24422,10:51:37.843264
-0.04500151798129082,24672,10:51:38.842766
-0.04514278471469879,24922,10:51:39.843190
-0.045733653008937836,25172,10:51:40.842937
-0.0458570271730423,25422,10:51:41.844143
-0.045705653727054596,25672,10:51:42.842046
-0.045330267399549484,25922,10:51:43.843019
-0.04587589204311371,26172,10:51:44.843497
-0.04622519016265869,26422,10:51:45.842959
-0.04618307203054428,26672,10:51:46.843396
-0.045765455812215805,26922,10:51:47.832959
-0.04554607346653938,27172,10:51:48.833120
-0.04574133828282356,27422,10:51:49.833114
-0.04572714865207672,27672,10:51:50.832257
-0.04550305753946304,27922,10:51:51.833227
-0.04564325511455536,28172,10:51:52.833281
-0.04556755721569061,28422,10:51:53.833200
-0.045887622982263565,28672,10:51:54.833189
-0.04596792161464691,28922,10:51:55.833337
-0.04530070349574089,29172,10:51:56.833168
-0.04586200416088104,29422,10:51:57.833368
-0.04557410255074501,29672,10:51:58.832956
-0.045519474893808365,29922,10:51:59.831992
-0.04567234218120575,30172,10:52:00.832153
-0.04566347226500511,30422,10:52:01.832061
-0.04573357477784157,30672,10:52:02.832401
